gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435
NPFFR2,,,,no,0.396,0.304,1836,735,-0.379
NPM3,,,,no,2.656,1.866,12324,4510,-0.509
NPNT,,,,no,1.426,0.534,6619,1290,-1.418
NPPA,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.216,0.297,1004,717,0.456
NPPB,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.035,0.065,162,157,0.896
NPPC,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.108,0.158,502,381,0.543
NPR1,,,,no,0.582,0.504,2700,1217,-0.208
NPR3,,,,no,0.416,0.396,1932,958,-0.071
NPSR1,,,,no,0.076,0.077,354,185,0.005
NPTN,,,,no,4.978,5.142,23103,12428,0.047
NPTX2,,,,no,0.041,0.064,192,155,0.632
NPTXR,,,,no,0.47,0.588,2183,1421,0.322
NPY1R,,,,no,0.134,0.189,624,456,0.489
NPY2R,,,,no,0.035,0.045,164,109,0.352
NQO1,,,,no,0.543,0.687,2522,1660,0.338
NQO2,,,,no,0.944,1.397,4379,3377,0.566
NR0B1,,,,no,0.036,0.054,169,131,0.574
NR0B2,,,,no,0.039,0.048,181,116,0.299
NR1H2,,,,no,8.364,5.665,38817,13692,-0.562
NR1H3,,,,no,4.457,4.208,20683,10171,-0.083
NR1H4,,,,no,0.18,0.271,837,656,0.59
NR1I2,,,,no,0.056,0.078,262,188,0.462
NR1I3,,,,no,0.035,0.054,162,130,0.624
NR2C2,,,,no,3.571,2.275,16573,5499,-0.65
NR2E3,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.065,0.111,300,268,0.779
NR3C1,,,,no,5.126,3.63,23788,8774,-0.498
NR3C2,,,,no,0.293,0.377,1358,912,0.367
NR4A1,,,,no,1.832,3.614,8504,8735,0.98
NR4A3,,,,no,0.193,0.278,897,671,0.522
NR5A1,,,,no,0.05,0.048,233,116,-0.065
NR5A2,,,,no,0.395,0.489,1834,1181,0.306
NR6A1,,,,no,0.342,0.3,1585,725,-0.187
NRAS,,,,no,1.959,2.204,9092,5326,0.17
NRDE2,,,,no,1.344,1.07,6236,2586,-0.329
NREP,,,,no,5.629,6.408,26124,15488,0.187
NRF1,,,,no,1.415,1.241,6568,2999,-0.19
NRIP1,,,,no,3.351,2.428,15552,5867,-0.465
NRK,,,,no,0.089,0.115,412,277,0.369
NRN1,,,,no,1.047,1.333,4860,3221,0.348
NRP1,,,,no,3.601,2.919,16714,7056,-0.303
NRP2,,,,no,0.497,0.401,2308,968,-0.312
NRROS,,,,no,1.282,1.541,5951,3724,0.265
NRSN1,,,,no,0.059,0.106,274,257,0.849
NRSN2,,,,no,0.401,0.314,1863,759,-0.354
NRXN2,,,,no,0.2,0.166,926,400,-0.27
NSD2,,,,no,2.303,2.04,10686,4931,-0.175
NSUN2,,,,no,4.113,2.703,19089,6533,-0.606
NSUN5,,,,no,8.976,8.065,41658,19492,-0.154
NT5C2,,,,no,4.593,3.982,21317,9625,-0.206
NT5DC2,,,,no,1.04,0.977,4825,2362,-0.089
NT5DC3,,,,no,0.347,0.216,1610,523,-0.681
NT5E,,,,no,0.697,0.948,3233,2290,0.444
NTF3,,,,no,0.089,0.146,411,353,0.722
NTMT1,,,,no,1.955,1.377,9073,3328,-0.506
NTN1,,,,no,0.621,0.583,2883,1409,-0.092
NTN4,,,,no,1.418,1.363,6581,3294,-0.057
NTNG2,,,,no,0.615,0.763,2855,1845,0.311
NTPCR,,,,no,2.337,1.602,10846,3871,-0.545
NTRK1,,,,no,0.158,0.196,733,474,0.312
NTRK2,,,,no,0.403,0.419,1868,1012,0.057
NTS,,,,no,0.133,0.149,617,359,0.16
NTSR1,,,,no,0.037,,173,0,
NUAK2,,,,no,2.058,2.168,9553,5240,0.075
NUCB2,,,,no,5.886,7.839,27315,18946,0.413
NUDCD1,,,,no,1.105,1.179,5126,2850,0.094
NUDCD2,,,,no,1.388,1.424,6443,3441,0.036
NUDT1,,,,no,2.908,1.814,13495,4384,-0.681
NUDT16L1,,,,no,2.596,2.283,12050,5518,-0.186
NUDT21,,,,no,3.194,3.559,14823,8601,0.156
NUMA1,,,,no,18.449,13.366,85621,32304,-0.465
NUMB,,,,no,1.638,1.641,7601,3967,0.003
NUP107,,,,no,1.538,1.412,7137,3413,-0.123
NUP153,,,,no,2.076,2.447,9635,5915,0.237
NUP214,,,,no,1.673,1.498,7764,3621,-0.159
NUP62,,,,no,1.939,1.718,8997,4153,-0.174
NUP93,,,,no,2.861,2.202,13276,5322,-0.378
NUP98,,,,no,4.959,4.232,23013,10229,-0.229
NUSAP1,,,,no,0.477,0.372,2212,898,-0.359
NUTF2,,,,no,2.135,2.664,9907,6438,0.319
NVL,,,,no,1.441,1.422,6687,3436,-0.019
NXF1,,,,no,6.166,4.722,28617,11412,-0.385
NXF3,,,,no,0.078,0.122,363,295,0.642
NXN,,,,no,3.125,2.222,14501,5370,-0.492
NXPH2,,,,no,0.049,0.089,226,216,0.876
NXPH4,,,,no,0.08,0.1,369,241,0.327
NXT2,,,,no,0.543,0.544,2518,1314,0.003
OAS1,,,,no,3.476,2.913,16131,7040,-0.255
OAS3,,,,no,6.093,4.574,28276,11056,-0.413
OBP2A,,,,no,0.043,0.059,199,142,0.454
OCLN,,,,no,1.162,0.342,5394,826,-1.766
OCM2,,,,no,0.15,0.136,694,329,-0.136
OCRL,,,,no,1.374,1.186,6378,2867,-0.212
ODF2L,,,,no,5.077,4.065,23564,9824,-0.321
ODR4,,,,no,1.352,1.443,6275,3487,0.094
OGDH,,,,no,6.002,4.829,27854,11670,-0.314
OGFR,,,,no,7.84,3.358,36385,8115,-1.223
OGG1,,,,no,0.415,0.523,1927,1263,0.332
OGT,,,,no,15.415,13.171,71541,31833,-0.227
OIT3,,,,no,0.032,,148,0,
OLFM1,,,,no,0.897,0.917,4163,2217,0.032
OLFM2,,,,no,0.639,0.66,2966,1596,0.047
OLFML3,,,,no,1.342,1.511,6230,3652,0.171
OLIG1,,,,no,0.052,0.1,243,242,0.935
OLIG2,,,,no,0.053,0.099,245,240,0.912
OLR1,,,,no,0.059,0.181,275,437,1.609
ONECUT3,,,,no,0.038,0.044,176,106,0.21
OPALIN,,,,no,0.023,0.06,105,146,1.417
OPN1LW,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.044,,202,0,
OPRD1,,,,no,0.04,0.07,185,170,0.819
OPRK1,,,,no,0.069,0.079,321,192,0.2
OPRL1,,,,no,0.145,0.116,672,280,-0.322
OPRM1,,,,no,0.049,0.07,226,168,0.513
OPRPN,,,,no,0.059,0.101,274,244,0.774
OPTN,,,,no,4.159,3.556,19301,8594,-0.226
ORAI2,,,,no,2.727,2.394,12654,5787,-0.187
ORAI3,,,,no,3.152,3.655,14630,8833,0.213
ORC6,,,,no,0.438,0.393,2034,949,-0.159
OSBP2,,,,no,0.205,0.135,953,326,-0.606
OSCP1,,,,no,0.253,0.257,1174,622,0.025
OSGIN1,,,,no,1.079,1.812,5006,4379,0.748
OSGIN2,,,,no,1.336,0.945,6200,2285,-0.499
OSM,,,,no,0.086,0.138,399,333,0.68
OSR2,,,,no,0.096,0.19,447,460,0.983
OTOF,,,,no,0.31,0.155,1439,374,-1.003
OTUB1,,,,no,3.213,2.102,14911,5080,-0.612
OTX2,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.069,0.083,318,201,0.279
OVOL2,,,,no,0.291,0.168,1351,407,-0.79
OXER1,,,,no,0.054,0.072,251,173,0.404
OXSM,,,,no,0.681,0.592,3159,1432,-0.2
OXSR1,,,,no,2.919,2.507,13545,6060,-0.219
OXTR,,,,no,0.049,0.087,229,210,0.816
P2RX1,,,,no,0.324,0.297,1503,717,-0.127
P2RX3,,,,no,0.031,0.072,146,174,1.194
P2RX4,,,,no,1.365,1.485,6334,3589,0.122
P2RX7,,,,no,1.222,1.312,5670,3171,0.103
P2RY1,,,,no,0.308,0.348,1428,842,0.179
P2RY12,,,,no,0.162,0.13,753,313,-0.325
P2RY13,,,,no,1.204,0.804,5588,1944,-0.582
P2RY14,,,,no,0.106,0.142,493,344,0.422
P2RY2,,,,no,0.298,0.384,1385,929,0.365
P2RY6,,,,no,0.404,0.335,1876,809,-0.272
P4HA1,,,,no,2.935,2.622,13619,6338,-0.162
P4HA3,,,,no,0.042,0.084,194,203,1.007
P4HB,,,,no,18.644,12.114,86525,29279,-0.622
P4HTM,,,,no,1.943,1.542,9016,3727,-0.333
PABPC1L,,,,no,7.266,7.705,33723,18623,0.085
PABPC4,,,,no,7.031,6.301,32632,15228,-0.158
PACC1,,,,no,0.86,0.762,3991,1842,-0.174
PADI2,,,,no,1.215,1.422,5637,3437,0.227
PADI4,,,,no,0.427,1.053,1982,2546,1.303
PAEP,,,,no,0.039,,182,0,
PAGE4,,,,no,0.036,0.064,166,155,0.842
PAH,,,,no,0.065,0.08,302,194,0.303
PAIP2,,,,no,6.664,5.451,30926,13174,-0.29
PAK1,,,,no,6.221,4.674,28872,11297,-0.412
PAK1IP1,,,,no,0.701,0.996,3253,2408,0.507
PAK2,,,,no,5.988,6.024,27791,14559,0.009
PAK4,,,,no,2.317,1.881,10752,4546,-0.301
PALB2,,,,no,0.415,0.392,1924,948,-0.08
PALLD,,,,no,5.538,3.229,25700,7805,-0.778
PALMD,,,,no,0.689,0.73,3197,1765,0.084
PAM,,,,no,0.942,0.783,4372,1893,-0.266
PANK2,,,,no,1.301,1.307,6039,3159,0.006
PANX1,,,,no,0.62,0.49,2879,1185,-0.339
PANX2,,,,no,0.236,0.387,1095,936,0.715
PANX3,,,,no,0.06,0.095,279,230,0.663
PAPPA,,,,no,0.098,0.12,455,289,0.286
PAPPA2,,,,no,0.036,0.052,169,125,0.506
PAPSS1,,,,no,5.116,3.523,23743,8514,-0.538
PARD3,,,,no,1.202,0.969,5577,2341,-0.311
PARK7,,,,no,8.427,6.841,39109,16533,-0.301
PARM1,,,,no,2.694,2.019,12503,4880,-0.416
PARP1,,,,no,7.961,6.885,36944,16641,-0.209
PARP11,,,,no,1.317,1.173,6110,2835,-0.167
PARP15,,,,no,2.18,1.725,10118,4168,-0.338
PARP3,,,,no,0.911,0.705,4227,1705,-0.369
PART1,,,,no,0.247,0.296,1144,715,0.263
PASD1,,,,no,0.039,0.07,183,169,0.826
PAWR,,,,no,5.809,3.946,26960,9537,-0.558
PAX1,,,,no,6.094,5.692,28282,13758,-0.098
PAX2,,,,no,0.169,0.141,785,341,-0.262
PAX3,,,,no,0.057,0.089,264,215,0.645
PAX5,,,,no,0.921,0.794,4275,1920,-0.214
PAX6,,,,no,0.074,0.122,345,295,0.715
PAX7,,,,no,0.047,0.096,219,233,1.031
PAX8,,,,no,0.136,0.253,629,612,0.902
PBDC1,,,,no,1.425,1.016,6615,2455,-0.489
PBK,,,,no,0.124,0.18,577,436,0.537
PBLD,,,,no,0.51,0.393,2366,951,-0.374
PBX1,,,,no,0.665,0.725,3087,1752,0.124
PBX3,,,,no,1.187,1.147,5508,2771,-0.05
PBXIP1,,,,no,6.949,5.409,32248,13072,-0.361
PC,,,,no,0.461,0.322,2139,779,-0.516
PCA3,,,,no,0.101,0.181,468,438,0.846
PCAT1,,,,no,0.501,0.65,2325,1572,0.377
PCBD1,,,,no,1.028,0.822,4770,1986,-0.323
PCBD2,,,,no,0.92,0.889,4270,2148,-0.05
PCBP3,,,,no,0.228,0.215,1056,519,-0.084
PCCB,,,,no,1.658,1.444,7694,3489,-0.2
PCDH10,,,,no,0.078,0.043,363,103,-0.876
PCDH11Y,,,,no,0.028,0.043,128,103,0.628
PCDH17,,,,no,0.323,0.279,1498,674,-0.211
PCDH18,,,,no,0.653,0.803,3032,1940,0.297
PCDH20,,,,no,0.139,0.173,644,418,0.318
PCDH8,,,,no,0.091,0.139,422,336,0.612
PCDHA1,,,,no,0.049,0.068,226,165,0.487
PCDHA2,,,,no,0.031,0.042,143,102,0.454
PCDHA4,,,,no,0.05,0.087,233,211,0.798
PCDHA9,,,,no,0.026,,121,0,
PCDHB14,,,,no,0.156,0.191,726,461,0.286
PCGEM1,,,,no,0.076,0.131,352,317,0.79
PCID2,,,,no,3.659,3.285,16979,7940,-0.155
PCK1,hepatocyte,Hepatocyte-specific; absent from pancreatic exocrine/endocrine and lymphoid tissues.,,yes,,0.053,0,128,
PCNA,,,,no,4.655,3.593,21605,8685,-0.374
PCNX3,,,,no,4.837,3.077,22447,7437,-0.652
PCSK1,,,,no,0.08,0.089,372,216,0.157
PCSK9,,,,no,0.029,,135,0,
PDCD1,,,,no,0.752,1.466,3492,3542,0.962
PDCD10,,,,no,0.549,0.672,2546,1624,0.293
PDCD1LG2,,,,no,0.563,0.501,2613,1211,-0.168
PDCD4,,,,no,15.197,10.641,70529,25718,-0.514
PDCD6,,,,no,4.064,3.379,18860,8167,-0.266
PDCD6IP,,,,no,3.003,2.843,13935,6872,-0.079
PDE10A,,,,no,0.297,0.256,1379,618,-0.217
PDE2A,,,,no,1.314,0.94,6097,2273,-0.482
PDE3A,,,,no,0.14,0.121,652,292,-0.218
PDE4A,,,,no,0.39,0.389,1810,941,-0.002
PDE4B,,,,no,2.4,1.651,11136,3990,-0.54
PDE4DIP,,,,no,2.371,1.605,11003,3880,-0.563
PDE5A,,,,no,0.791,0.654,3671,1580,-0.275
PDE6H,photoreceptor_retinal,Restricted to retinal photoreceptors / RPE; not present in pancreas or LN.,,yes,0.064,0.115,296,278,0.851
PDGFA,,,,no,1.045,1.494,4848,3610,0.516
PDGFB,,,,no,0.497,0.85,2306,2054,0.774
PDGFC,,,,no,1.652,1.223,7665,2956,-0.433
PDGFD,,,,no,0.257,0.27,1192,653,0.073
PDGFRA,,,,no,3.315,2.469,15383,5967,-0.425
PDGFRB,,,,no,3.703,5.218,17187,12611,0.495
PDGFRL,,,,no,0.201,0.341,934,825,0.762
PDHA1,,,,no,3.423,2.404,15884,5811,-0.509
PDHB,,,,no,4.723,3.728,21920,9009,-0.342
PDIA2,,,,no,0.03,,141,0,
PDIA3,,,,no,8.388,7.012,38929,16948,-0.258
PDIA4,,,,no,9.077,6.213,42124,15016,-0.547
PDK1,,,,no,2.366,1.901,10982,4594,-0.316
PDLIM2,,,,no,1.251,1.418,5805,3426,0.18
PDLIM4,,,,no,0.93,0.522,4316,1261,-0.834
PDPK1,,,,no,4.54,3.068,21071,7416,-0.565
PDPN,,,,no,1.493,1.336,6928,3229,-0.16
PDX1,pancreatic_islet_TF,"Pancreatic-islet-specific transcription factor or β-cell-restricted transporter. Not expressed in thymus. Pan-neuroendocrine TFs (NEUROD1, ISL1, INSM1, FEV, CHGA, CHGB, SCG2, SCGN) deliberately kept because some are expressed by thymic medullary neuroendocrine-like cells.",,yes,0.039,0.079,179,192,1.042
PDXDC1,,,,no,9.499,7.671,44082,18541,-0.308
PDYN,,,,no,0.062,0.07,286,170,0.191
PDZD4,,,,no,1.135,0.64,5267,1548,-0.825
PDZD7,,,,no,0.133,0.185,618,446,0.471
PDZK1,,,,no,0.139,0.17,647,412,0.29
PEA15,,,,no,3.302,3.324,15323,8034,0.01
PEBP4,,,,no,0.131,0.119,607,288,-0.134
PECAM1,,,,no,9.535,9.067,44251,21914,-0.073
PEF1,,,,no,3.132,2.667,14535,6447,-0.232
PEG10,,,,no,3.956,2.155,18359,5209,-0.876
PELO,,,,no,1.888,1.511,8761,3651,-0.322
PELP1,,,,no,2.586,1.839,12002,4444,-0.492
PENK,,,,no,0.036,0.065,169,158,0.844
PEPD,,,,no,2.898,1.852,13451,4477,-0.646
PER1,,,,no,6.056,1.638,28106,3958,-1.887
PER2,,,,no,0.536,0.465,2487,1123,-0.206
PER3,,,,no,1.407,0.981,6530,2370,-0.521
PFKFB3,,,,no,6.773,6.357,31431,15364,-0.091
PFKP,,,,no,2.991,2.502,13883,6048,-0.258
PGA3,,,,no,0.107,0.261,497,632,1.288
PGAM5,,,,no,1.205,1.149,5591,2777,-0.068
PGAP1,,,,no,0.613,0.514,2844,1243,-0.253
PGAP2,,,,no,1.239,1.073,5752,2593,-0.208
PGBD1,,,,no,0.357,0.341,1658,825,-0.066
PGD,,,,no,3.788,2.543,17579,6146,-0.575
PGF,,,,no,0.846,1.0,3924,2418,0.243
PGGT1B,,,,no,0.942,0.934,4370,2257,-0.012
PGK1,,,,no,8.613,6.019,39974,14548,-0.517
PGM1,,,,no,2.336,1.391,10839,3363,-0.747
PGR,,,,no,0.1,0.133,466,321,0.404
PHB,,,,no,1.663,1.364,7716,3297,-0.285
PHB2,,,,no,12.892,7.609,59831,18391,-0.761
PHETA1,,,,no,0.734,0.577,3408,1394,-0.348
PHEX,bone_cartilage_tooth,"Bone matrix, hypertrophic chondrocyte, or tooth-specific.",,yes,0.211,0.353,981,853,0.74
PHF10,,,,no,9.859,7.886,45755,19059,-0.322
PHF12,,,,no,2.209,1.658,10254,4006,-0.415
PHF21B,,,,no,0.094,0.133,434,322,0.511
PHF23,,,,no,5.345,4.275,24805,10332,-0.322
PHF6,,,,no,2.016,1.706,9356,4124,-0.241
PHF7,,,,no,0.347,0.28,1610,677,-0.309
PHF8,,,,no,3.677,2.725,17063,6587,-0.432
PHGDH,,,,no,1.407,1.816,6530,4390,0.368
PHLDA3,,,,no,0.418,0.495,1938,1196,0.245
PHLDB2,,,,no,2.916,2.465,13532,5958,-0.242
PHLDB3,,,,no,2.496,2.144,11584,5182,-0.219
PHLPP1,,,,no,1.077,0.957,4997,2312,-0.171
PHOX2B,,,,no,0.054,0.096,249,231,0.833
PI16,,,,no,0.199,0.402,924,972,1.014
PI4KA,,,,no,8.793,7.998,40808,19330,-0.137
PIAS1,,,,no,6.804,5.413,31578,13082,-0.33
PIBF1,,,,no,1.705,1.878,7911,4540,0.14
PICALM,,,,no,8.485,5.621,39380,13586,-0.594
PID1,,,,no,0.452,0.366,2097,885,-0.303
PIEZO1,,,,no,2.329,2.348,10808,5674,0.012
PIEZO2,,,,no,0.432,0.47,2005,1137,0.123
PIGF,,,,no,0.777,0.978,3604,2363,0.332
PIH1D1,,,,no,3.07,2.228,14249,5385,-0.463
PIK3C3,,,,no,4.11,3.564,19072,8614,-0.205
PIK3CA,,,,no,5.659,3.807,26265,9201,-0.572
PIK3CB,,,,no,3.047,2.449,14140,5919,-0.315
PIK3CD,,,,no,7.227,6.952,33541,16801,-0.056
PIK3CG,,,,no,3.109,2.823,14428,6824,-0.139
PIK3R1,,,,no,3.459,3.316,16053,8015,-0.061
PIK3R2,,,,no,3.027,2.142,14048,5178,-0.499
PIKFYVE,,,,no,4.69,4.764,21766,11515,0.023
PILRA,,,,no,0.674,0.472,3130,1140,-0.516
PIM1,,,,no,2.545,2.28,11810,5511,-0.158
PIM2,,,,no,5.157,4.545,23934,10984,-0.182
PIMREG,,,,no,0.192,0.247,891,596,0.361
PIN1,,,,no,2.388,1.747,11084,4223,-0.451
PINK1,,,,no,6.042,3.506,28040,8474,-0.785
PIP4K2A,,,,no,2.975,1.833,13807,4430,-0.699
PITHD1,,,,no,5.192,2.648,24096,6400,-0.971
PITPNB,,,,no,7.447,6.539,34563,15804,-0.188
PITX1,,,,no,0.023,,106,0,
PITX2,,,,no,0.082,0.143,380,345,0.802
PIWIL1,spermatogenesis,Spermatogenic / testis-only expression; absent from pancreas/LN tissues.,,yes,0.088,0.145,409,351,0.721
PKD1,,,,no,2.437,3.285,11310,7939,0.431
PKD1L1,,,,no,0.343,0.31,1590,750,-0.143
PKD2,,,,no,0.68,0.335,3157,810,-1.021
PKD2L1,,,,no,0.709,0.653,3292,1579,-0.119
PKHD1,,,,no,0.095,0.138,439,333,0.543
PKIA,,,,no,0.179,0.268,832,647,0.578
PKM,,,,no,15.922,10.895,73892,26331,-0.547
PKNOX2,,,,no,0.438,0.371,2033,896,-0.241
PKP2,,,,no,4.688,1.238,21755,2992,-1.921
PLA2G4A,,,,no,0.407,0.309,1887,748,-0.394
PLA2G5,,,,no,0.044,0.079,204,191,0.846
PLA2G6,,,,no,1.574,1.849,7306,4468,0.232
PLA2G7,,,,no,1.693,1.859,7855,4493,0.135
PLA2R1,,,,no,1.263,0.978,5860,2363,-0.369
PLAGL1,,,,no,1.08,1.156,5014,2794,0.098
PLAGL2,,,,no,1.673,1.191,7766,2879,-0.49
PLAT,,,,no,0.26,0.256,1205,619,-0.02
PLAU,,,,no,1.077,1.839,4999,4444,0.771
PLAUR,,,,no,1.955,3.112,9073,7521,0.671
PLCB1,,,,no,0.86,0.969,3989,2342,0.173
PLCE1,,,,no,0.171,0.141,793,341,-0.276
PLCG1,,,,no,15.554,13.919,72187,33640,-0.16
PLCG2,,,,no,1.317,1.066,6110,2577,-0.304
PLD1,,,,no,0.959,1.053,4450,2545,0.135
PLD2,,,,no,3.65,2.643,16941,6387,-0.466
PLEC,,,,no,29.503,17.626,136920,42599,-0.743
PLEKHA1,,,,no,3.965,3.443,18403,8322,-0.204
PLEKHA2,,,,no,1.256,1.443,5829,3487,0.2
PLEKHB2,,,,no,2.66,1.673,12343,4044,-0.669
PLEKHH2,,,,no,0.591,0.54,2744,1306,-0.13
PLEKHM2,,,,no,6.11,3.706,28354,8956,-0.721
PLEKHO1,,,,no,7.796,5.375,36179,12990,-0.536
PLG,,,,no,0.074,0.134,342,324,0.863
PLIN1,,,,no,0.065,0.242,300,585,1.905
PLIN2,,,,no,3.026,1.383,14043,3343,-1.129
PLIN4,,,,no,0.159,0.295,739,714,0.892
PLIN5,,,,no,1.778,1.216,8251,2940,-0.547
PLK1,,,,no,0.651,0.355,3023,859,-0.874
PLK4,,,,no,0.215,0.251,996,607,0.227
PLN,cardiac_muscle,Cardiac-muscle-specific; not in pancreas/LN.,,yes,0.159,0.181,738,437,0.185
PLP2,,,,no,6.417,6.17,29779,14913,-0.056
PLS3,,,,no,5.177,4.195,24024,10140,-0.303
PLSCR1,,,,no,2.116,2.472,9819,5975,0.225
PLTP,,,,no,6.705,5.342,31116,12910,-0.328
PLVAP,,,,no,3.352,3.778,15557,9132,0.173
PLXDC1,,,,no,1.262,1.247,5857,3014,-0.017
PLXNB2,,,,no,11.883,10.157,55147,24548,-0.226
PLXNC1,,,,no,1.074,1.326,4985,3205,0.304
PM20D1,,,,no,0.112,0.073,520,177,-0.614
PM20D2,,,,no,1.031,1.457,4787,3521,0.498
PMAIP1,,,,no,0.592,0.446,2746,1077,-0.409
PMCH,,,,no,0.152,0.22,707,532,0.531
PMFBP1,,,,no,0.137,0.189,636,456,0.461
PML,,,,no,4.727,4.195,21939,10139,-0.172
PMM2,,,,no,2.826,2.793,13113,6751,-0.017
PMP22,,,,no,1.68,1.339,7799,3236,-0.328
PMS1,,,,no,1.848,2.155,8578,5209,0.222
PMS2,,,,no,2.471,1.913,11467,4624,-0.369
PNMA1,,,,no,1.333,1.293,6186,3125,-0.044
PNMA2,,,,no,0.087,0.116,403,280,0.416
PNOC,,,,no,0.412,0.275,1914,664,-0.586
PNP,,,,no,0.662,0.529,3071,1278,-0.324
PNPLA1,,,,no,0.041,0.088,192,212,1.084
PNPLA2,,,,no,10.58,6.234,49101,15067,-0.763
PNPLA3,,,,no,0.262,0.233,1217,563,-0.171
PNPLA6,,,,no,3.751,2.739,17406,6621,-0.453
PNPT1,,,,no,0.909,1.029,4217,2486,0.179
PODXL,,,,no,1.027,1.279,4766,3091,0.317
POGLUT2,,,,no,0.271,0.325,1260,786,0.26
POGZ,,,,no,7.726,6.69,35856,16169,-0.208
POLB,,,,no,1.786,1.871,8287,4521,0.067
POLD1,,,,no,1.666,1.068,7732,2581,-0.642
POLDIP2,,,,no,3.597,2.432,16692,5878,-0.564
POLE,,,,no,1.267,0.78,5878,1886,-0.699
POLH,,,,no,2.959,2.757,13734,6664,-0.102
POLR2A,,,,no,11.792,7.04,54724,17015,-0.744
POLR2B,,,,no,8.192,6.156,38017,14878,-0.412
POLR2C,,,,no,5.371,3.901,24928,9428,-0.461
POLR2E,,,,no,1.758,1.605,8160,3878,-0.132
POLR2G,,,,no,5.844,4.824,27122,11658,-0.277
POLR2H,,,,no,2.785,2.676,12927,6468,-0.058
POLR2M,,,,no,3.153,3.598,14633,8696,0.19
POMC,,,,no,0.555,0.327,2576,791,-0.762
POMGNT1,,,,no,3.313,2.911,15376,7035,-0.187
POMT1,,,,no,1.476,1.269,6851,3066,-0.219
PON1,,,,no,0.062,0.207,288,500,1.737
PON2,,,,no,0.911,0.788,4229,1905,-0.209
POPDC3,,,,no,0.037,0.067,173,161,0.838
POR,,,,no,4.539,3.287,21064,7945,-0.465
PORCN,,,,no,0.723,0.469,3357,1133,-0.626
POSTN,,,,no,0.87,0.499,4038,1207,-0.801
POTEF,,,,no,0.373,0.604,1730,1459,0.695
POTEI,,,,no,0.588,0.823,2728,1988,0.485
POTEJ,,,,no,0.111,0.147,516,356,0.406
POU1F1,,,,no,0.075,0.16,346,386,1.099
POU2AF1,,,,no,4.173,2.262,19366,5466,-0.884
POU2F1,,,,no,2.093,1.684,9714,4071,-0.313
POU2F2,,,,no,1.146,1.058,5320,2558,-0.115
POU2F3,,,,no,0.149,0.149,691,360,0.001
POU3F1,,,,no,0.113,0.117,523,282,0.05
POU3F3,,,,no,0.026,0.049,122,119,0.905
POU4F3,,,,no,0.129,0.099,597,239,-0.379
POU5F1,embryonic_pluripotency,Pluripotency factors / embryonic-restricted; not in adult pancreas or LN.,,yes,1.896,1.501,8800,3628,-0.337
PPARA,,,,no,0.753,0.581,3493,1403,-0.375
PPARD,,,,no,1.857,1.916,8616,4630,0.045
PPARG,,,,no,1.129,0.93,5238,2248,-0.279
PPARGC1A,,,,no,0.459,0.513,2129,1239,0.16
PPFIA1,,,,no,5.715,3.879,26522,9376,-0.559
PPFIA3,,,,no,0.15,0.141,697,341,-0.09
PPFIA4,,,,no,0.345,0.407,1599,984,0.241
PPIC,,,,no,0.512,0.329,2375,795,-0.638
PPID,,,,no,1.712,2.025,7947,4893,0.242
PPIF,,,,no,1.647,1.493,7645,3609,-0.142
PPM1A,,,,no,7.052,5.075,32729,12265,-0.475
PPM1D,,,,no,2.679,1.834,12432,4432,-0.547
PPM1H,,,,no,1.95,1.026,9052,2480,-0.927
PPP1CA,,,,no,8.857,7.038,41103,17011,-0.332
PPP1R15B,,,,no,6.264,5.284,29069,12771,-0.245
PPP1R16B,,,,no,3.631,3.427,16851,8283,-0.083
PPP1R1B,,,,no,0.24,0.165,1115,399,-0.541
PPP1R1C,,,,no,0.272,0.396,1261,957,0.543
PPP1R37,,,,no,4.889,3.229,22690,7805,-0.598
PPP1R7,,,,no,2.219,1.841,10298,4449,-0.27
PPP1R9B,,,,no,9.751,6.442,45253,15570,-0.598
PPP2CA,,,,no,3.405,3.137,15803,7582,-0.118
PPP2R1A,,,,no,9.001,6.494,41771,15695,-0.471
PPP2R3A,,,,no,0.522,0.384,2421,929,-0.441
PPP2R3C,,,,no,2.397,2.555,11122,6175,0.092
PPP3CA,,,,no,3.22,2.688,14943,6497,-0.26
PPP4R1,,,,no,2.986,2.462,13858,5950,-0.278
PPP4R4,,,,no,0.116,0.23,538,556,0.989
PRAME,,,,no,0.181,0.139,840,337,-0.376
PRCP,,,,no,4.942,4.236,22935,10238,-0.222
PRDM1,,,,no,0.948,0.425,4401,1026,-1.16
PRDM10,,,,no,1.138,1.388,5280,3354,0.287
PRDM12,,,,no,0.057,0.125,265,301,1.125
PRDM15,,,,no,2.174,1.842,10090,4451,-0.239
PRDM6,,,,no,0.117,0.172,542,416,0.56
PREP,,,,no,3.212,2.749,14906,6643,-0.225
